target_id	length	eff_length	est_counts	tpm
gene-CDR20291_3551	408	226.032	3286	213.622
gene-CDR20291_3552	774	584.608	4011	100.817
rna-16S	1630	1440.58	1.09523e+06	11171.6
rna-23S	2951	2761.58	858462	4567.84
rna-5S	117	22.7736	18.7816	12.1185
gene-CDR20291_0001	510	322.509	2044	93.1292
gene-CDR20291_0002	882	692.578	2267	48.0984
gene-CDR20291_0003	1272	1082.58	18486	250.918
gene-CDR20291_0004	456	270.67	25933	1407.86
gene-CDR20291_0005	1638	1448.58	49929	506.475
gene-CDR20291_0006	351	175.593	4395	367.79
gene-CDR20291_0007	600	411.084	29918	1069.42
gene-CDR20291_0008	1206	1016.58	6931	100.185
rna-16S_1	1779	1589.58	363013	3355.74
rna-23S_1	2951	2761.58	396601	2110.3
rna-5S_1	117	22.7736	2.06612	1.33312
gene-CDR20291_0009	414	231.476	1178	74.7801
gene-CDR20291_0010	3432	3242.58	147688	669.271
gene-CDR20291_0011	1929	1739.58	3735	31.5496
gene-CDR20291_0012	465	279.218	3170	166.826
gene-CDR20291_0013	495	307.969	6126	292.292
gene-CDR20291_0014	1026	836.578	18558	325.966
gene-CDR20291_0015	2250	2060.58	60938	434.557
gene-CDR20291_0016	1374	1184.58	7340	91.05
gene-CDR20291_0017	1071	881.578	1998	33.3029
gene-CDR20291_0018	1095	905.578	8720	141.494
gene-CDR20291_0019	2178	1988.58	4564	33.7249
gene-CDR20291_0020	846	656.578	352	7.87778
gene-CDR20291_0021	1167	977.578	44	0.661376
gene-CDR20291_0022	1647	1457.58	137	1.38113
gene-CDR20291_0023	1374	1184.58	223	2.76623
gene-CDR20291_0024	954	764.578	680	13.0688
gene-CDR20291_0025	969	779.578	1275	24.0324
gene-CDR20291_0026	987	797.578	2352	43.3323
gene-CDR20291_0027	1047	857.578	1995	34.1835
gene-CDR20291_0028	1731	1541.58	2805	26.7371
gene-CDR20291_0029	2949	2759.58	354	1.88498
gene-CDR20291_0030	465	279.218	18	0.947274
gene-CDR20291_0031	303	136.718	45	4.83652
