target_id	length	eff_length	est_counts	tpm
gene-CDR20291_3551	408	228.217	2950	209.586
gene-CDR20291_3552	774	587.114	3643	100.606
rna-16S	1630	1443.1	954586	10725.2
rna-23S	2951	2764.1	860284	5046.33
rna-5S	117	22.6531	14.2083	10.1696
gene-CDR20291_0001	510	325.095	1866	93.0654
gene-CDR20291_0002	882	695.097	1996	46.5589
gene-CDR20291_0003	1272	1085.1	15469	231.143
gene-CDR20291_0004	456	273.125	23797	1412.69
gene-CDR20291_0005	1638	1451.1	46234	516.598
gene-CDR20291_0006	351	177.37	4218	385.579
gene-CDR20291_0007	600	413.688	27763	1088.13
gene-CDR20291_0008	1206	1019.1	6147	97.7991
rna-16S_1	1779	1592.1	332297	3384.1
rna-23S_1	2951	2764.1	374102	2194.44
rna-5S_1	117	22.6531	3	2.14725
gene-CDR20291_0009	414	233.698	996	69.1021
gene-CDR20291_0010	3432	3245.1	129417	646.623
gene-CDR20291_0011	1929	1742.1	3379	31.4487
gene-CDR20291_0012	465	281.691	3176	182.808
gene-CDR20291_0013	495	310.578	5914	308.744
gene-CDR20291_0014	1026	839.097	18269	353.012
gene-CDR20291_0015	2250	2063.1	58814	462.22
gene-CDR20291_0016	1374	1187.1	6509	88.9028
gene-CDR20291_0017	1071	884.097	1922	35.2485
gene-CDR20291_0018	1095	908.097	7634	136.304
gene-CDR20291_0019	2178	1991.1	3926	31.9702
gene-CDR20291_0020	846	659.106	315	7.74895
gene-CDR20291_0021	1167	980.097	43	0.711355
gene-CDR20291_0022	1647	1460.1	119	1.32146
gene-CDR20291_0023	1374	1187.1	186	2.54047
gene-CDR20291_0024	954	767.097	715	15.1127
gene-CDR20291_0025	969	782.097	1213	25.1471
gene-CDR20291_0026	987	800.097	2210	44.7854
gene-CDR20291_0027	1047	860.097	1942	36.6091
gene-CDR20291_0028	1731	1544.1	2541	26.6819
gene-CDR20291_0029	2949	2762.1	306	1.79626
gene-CDR20291_0030	465	281.691	19	1.09362
gene-CDR20291_0031	303	137.507	45	5.30609
gene-CDR20291_0032	1365	1178.1	130	1.78916
gene-CDR20291_0033	474	290.338	3	0.167535
gene-CDR20291_0034	651	464.348	67	2.33948
gene-CDR20291_0035	933	746.097	483	10.4964
gene-CDR20291_0036	747	560.121	1094	31.6682
gene-CDR20291_0037	486	301.928	1419	76.2021
gene-CDR20291_0038	1716	1529.1	25434	269.691
gene-CDR20291_0039	1533	1346.1	32422	390.527
gene-CDR20291_0040	1482	1295.1	10743	134.496
gene-CDR20291_0041	1404	1217.1	43113	574.342
gene-CDR20291_0042	396	217.158	20163	1505.45
gene-CDR20291_0043	831	644.106	12325	310.254
gene-CDR20291_0044	495	310.578	744	38.8409
gene-CDR20291_0045	1377	1190.1	14997	204.319
gene-CDR20291_0046	750	563.121	12043	346.753
gene-CDR20291_0047	303	137.507	538	63.4373
gene-CDR20291_0048	747	560.121	12365	357.932
gene-CDR20291_0049	528	342.687	6904	326.656
gene-CDR20291_0050	663	476.324	9911	337.367
gene-CDR20291_0051	1194	1007.1	121558	1957.04
gene-CDR20291_0052	150	38.3889	12095	5108.43
gene-CDR20291_0053	222	79.7659	9046	1838.77
gene-CDR20291_0054	543	357.377	16953	769.144
gene-CDR20291_0055	426	244.835	39276	2601
gene-CDR20291_0056	699	512.181	67409	2133.94
gene-CDR20291_0057	507	322.173	49076	2469.83
gene-CDR20291_0058	366	190.352	27828	2370.34
gene-CDR20291_0059	789	602.114	14621	393.719
gene-CDR20291_0060	3717	3530.1	94235	432.826
gene-CDR20291_0061	3486	3299.1	197293	969.625
gene-CDR20291_0062	426	244.835	77935	5161.14
gene-CDR20291_0063	471	287.479	25041	1412.32
gene-CDR20291_0064	2067	1880.1	378172	3261.34
gene-CDR20291_0065	1194	1007.1	291471	4692.58
gene-CDR20291_0066	312	144.722	117282	13139.6
gene-CDR20291_0067	630	443.433	73334	2681.42
gene-CDR20291_0068	654	467.342	77871	2701.65
gene-CDR20291_0069	291	128.194	39003	4933.06
gene-CDR20291_0070	831	644.106	120648	3037.04
gene-CDR20291_0071	282	121.396	36388	4860.08
gene-CDR20291_0072	336	164.493	50772	5004.53
gene-CDR20291_0073	816	629.106	66382	1710.86
gene-CDR20291_0074	432	250.471	51083	3306.79
gene-CDR20291_0075	204	68.6508	14889	3516.47
gene-CDR20291_0076	255	101.923	43271	6883.55
gene-CDR20291_0077	369	193.043	59148	4967.92
gene-CDR20291_0078	309	142.358	31233	3557.3
gene-CDR20291_0079	543	357.377	56103	2545.35
gene-CDR20291_0080	186	57.9387	17766	4971.74
gene-CDR20291_0081	399	219.92	38800	2860.59
gene-CDR20291_0082	543	357.377	59294	2690.12
gene-CDR20291_0083	369	193.043	39113	3285.15
gene-CDR20291_0084	510	325.095	40144	2002.15
gene-CDR20291_0085	186	57.9387	21609	6047.19
gene-CDR20291_0086	444	261.791	55674	3448.14
gene-CDR20291_0087	1269	1082.1	187427	2808.36
gene-CDR20291_0088	666	479.318	56613	1915.05
gene-CDR20291_0089	747	560.121	62837	1818.95
gene-CDR20291_0090	279	119.166	7011	953.931
gene-CDR20291_0091	219	77.8801	20058	4175.88
gene-CDR20291_0092	114	21.3446	6610	5021.12
gene-CDR20291_0093	372	195.706	16487	1365.92
gene-CDR20291_0094	399	219.92	119957	8844
gene-CDR20291_0095	624	437.46	129606	4803.68
gene-CDR20291_0096	948	761.097	98478	2097.91
gene-CDR20291_0097	342	169.573	21957	2099.44
gene-CDR20291_0098	834	647.106	2216	55.5242
gene-CDR20291_0099	822	635.106	2128	54.3267
gene-CDR20291_0100	708	521.162	3252	101.173
gene-CDR20291_0101	732	545.148	4602	136.873
gene-CDR20291_0102	342	169.573	41930	4009.18
gene-CDR20291_0103	393	214.499	29463	2227.1
gene-CDR20291_0104	753	566.121	959	27.4661
rna-16S_2	1631	1444.1	257064	2886.24
rna-23S_2	2631	2444.1	85970	570.316
rna-16S_3	1632	1445.1	898660	10082.9
rna-23S_3	2596	2409.1	4615.24	31.0619
rna-5S_2	117	22.6531	14.2083	10.1696
gene-CDR20291_0105	1185	998.097	30303	492.266
gene-CDR20291_0106	2352	2165.1	12710	95.1822
gene-CDR20291_0107	540	354.404	3593	164.379
rna-23S_4	2953	2766.1	1.07388e+06	6294.69
rna-5S_3	117	22.6531	14.2083	10.1696
gene-CDR20291_0108	840	653.106	1441	35.774
gene-CDR20291_0109	1113	926.097	2389	41.8261
gene-CDR20291_0110	120	23.967	2	1.35302
gene-CDR20291_0111	918	731.097	8625	191.281
gene-CDR20291_0112	1080	893.097	6011	109.128
gene-CDR20291_0113	609	422.552	11488	440.811
gene-CDR20291_0114	216	75.9516	4193	895.107
gene-CDR20291_0115	1080	893.097	48880	887.401
gene-CDR20291_0116	753	566.121	34388	984.885
gene-CDR20291_0117	558	372.157	43540	1896.92
gene-CDR20291_0118	1407	1220.1	14620	194.285
gene-CDR20291_0119	1833	1646.1	83120	818.724
gene-CDR20291_0120	1296	1109.1	1665	24.3406
