target_id	length	eff_length	est_counts	tpm
gene-CDR20291_3551	408	245.061	2996	242.307
gene-CDR20291_3552	774	608.176	3387	110.378
rna-16S	1630	1464.18	949285	12849.9
rna-23S	2951	2785.18	492513	3504.8
rna-5S	117	23.5751	76.4415	64.2649
gene-CDR20291_0001	510	344.801	2644	151.982
gene-CDR20291_0002	882	716.176	2443	67.6086
gene-CDR20291_0003	1272	1106.18	19136	342.866
gene-CDR20291_0004	456	291.674	6765	459.693
gene-CDR20291_0005	1638	1472.18	11091	149.317
gene-CDR20291_0006	351	191.328	1500	155.386
gene-CDR20291_0007	600	434.311	12692	579.199
gene-CDR20291_0008	1206	1040.18	6364	121.261
rna-16S_1	1779	1613.18	346668	4259.22
rna-23S_1	2951	2785.18	236029	1679.62
rna-5S_1	117	23.5751	57.875	48.6559
gene-CDR20291_0009	414	250.83	293	23.1518
gene-CDR20291_0010	3432	3266.18	144066	874.218
gene-CDR20291_0011	1929	1763.18	1372	15.4226
gene-CDR20291_0012	465	300.497	3044	200.772
gene-CDR20291_0013	495	330.016	4403	264.431
gene-CDR20291_0014	1026	860.176	14402	331.844
gene-CDR20291_0015	2250	2084.18	52589	500.102
gene-CDR20291_0016	1374	1208.18	6761	110.912
gene-CDR20291_0017	1071	905.176	1133	24.8082
gene-CDR20291_0018	1095	929.176	21212	452.461
gene-CDR20291_0019	2178	2012.18	8647	85.1721
gene-CDR20291_0020	846	680.176	138	4.0212
gene-CDR20291_0021	1167	1001.18	28	0.554301
gene-CDR20291_0022	1647	1481.18	58	0.776103
gene-CDR20291_0023	1374	1208.18	142	2.32946
gene-CDR20291_0024	954	788.176	191	4.80295
gene-CDR20291_0025	969	803.176	439	10.8331
gene-CDR20291_0026	987	821.176	724	17.4743
gene-CDR20291_0027	1047	881.176	702	15.7896
gene-CDR20291_0028	1731	1565.18	855	10.8268
gene-CDR20291_0029	2949	2783.18	198	1.41001
gene-CDR20291_0030	465	300.497	13	0.857436
gene-CDR20291_0031	303	148.616	16	2.13379
gene-CDR20291_0032	1365	1199.18	52	0.859446
gene-CDR20291_0033	474	309.332	13	0.832946
gene-CDR20291_0034	651	485.248	32	1.30703
gene-CDR20291_0035	933	767.176	410	10.5922
gene-CDR20291_0036	747	581.176	954	32.5341
gene-CDR20291_0037	486	321.166	1347	83.1258
gene-CDR20291_0038	1716	1550.18	15787	201.844
gene-CDR20291_0039	1533	1367.18	24451	354.462
gene-CDR20291_0040	1482	1316.18	10422	156.941
gene-CDR20291_0041	1404	1238.18	59748	956.399
gene-CDR20291_0042	396	233.555	28857	2448.83
gene-CDR20291_0043	831	665.176	16597	494.528
gene-CDR20291_0044	495	330.016	884	53.0904
gene-CDR20291_0045	1377	1211.18	20450	334.645
gene-CDR20291_0046	750	584.176	17071	579.179
gene-CDR20291_0047	303	148.616	831	110.824
gene-CDR20291_0048	747	581.176	18731	638.78
gene-CDR20291_0049	528	362.659	9656	527.711
gene-CDR20291_0050	663	497.224	14960	596.318
gene-CDR20291_0051	1194	1028.18	137747	2655.29
gene-CDR20291_0052	150	40.3723	17867	8771.35
gene-CDR20291_0053	222	85.2997	13504	3137.71
gene-CDR20291_0054	543	377.53	22983	1206.57
gene-CDR20291_0055	426	262.386	58038	4384
gene-CDR20291_0056	699	533.211	86420	3212.28
gene-CDR20291_0057	507	341.844	39028	2262.8
gene-CDR20291_0058	366	205.244	22673	2189.46
gene-CDR20291_0059	789	623.176	18110	575.978
gene-CDR20291_0060	3717	3551.18	43287	241.592
gene-CDR20291_0061	3486	3320.18	103621	618.564
gene-CDR20291_0062	426	262.386	73039	5517.13
gene-CDR20291_0063	471	306.413	22849	1477.95
gene-CDR20291_0064	2067	1901.18	329410	3434.1
gene-CDR20291_0065	1194	1028.18	293386	5655.49
gene-CDR20291_0066	312	156.32	111417	14126.5
gene-CDR20291_0067	630	464.266	75917	3240.93
gene-CDR20291_0068	654	488.236	93610	3800.06
gene-CDR20291_0069	291	138.529	47562	6804.85
gene-CDR20291_0070	831	665.176	140910	4198.59
gene-CDR20291_0071	282	131.182	41619	6288.03
gene-CDR20291_0072	336	177.681	64846	7233.37
gene-CDR20291_0073	816	650.176	75239	2293.56
gene-CDR20291_0074	432	268.232	57801	4270.93
gene-CDR20291_0075	204	72.9738	18626	5058.84
gene-CDR20291_0076	255	109.751	52548	9489.54
gene-CDR20291_0077	369	208.018	64606	6155.59
gene-CDR20291_0078	309	153.769	36994	4768.28
gene-CDR20291_0079	543	377.53	71293	3742.77
gene-CDR20291_0080	186	61.5226	19002	6121.56
gene-CDR20291_0081	399	236.416	41604	3487.84
gene-CDR20291_0082	543	377.53	72308	3796.06
gene-CDR20291_0083	369	208.018	49836	4748.32
gene-CDR20291_0084	510	344.801	43698	2511.84
gene-CDR20291_0085	186	61.5226	25069	8076.07
gene-CDR20291_0086	444	279.957	60175	4260.13
gene-CDR20291_0087	1269	1103.18	187105	3361.54
gene-CDR20291_0088	666	500.224	52597	2083.99
gene-CDR20291_0089	747	581.176	64187	2188.96
gene-CDR20291_0090	279	128.767	6868	1057.12
gene-CDR20291_0091	219	83.2199	21863	5206.92
gene-CDR20291_0092	114	22.2587	7296	6496.56
gene-CDR20291_0093	372	210.811	15815	1486.88
gene-CDR20291_0094	399	236.416	138200	11585.9
gene-CDR20291_0095	624	458.272	146446	6333.63
gene-CDR20291_0096	948	782.176	114125	2891.84
gene-CDR20291_0097	342	183.074	24065	2605.29
gene-CDR20291_0098	834	668.176	2337	69.3211
gene-CDR20291_0099	822	656.176	1976	59.6849
gene-CDR20291_0100	708	542.197	2878	105.204
gene-CDR20291_0101	732	566.191	4068	142.402
gene-CDR20291_0102	342	183.074	34528	3738.02
gene-CDR20291_0103	393	230.702	26047	2237.71
gene-CDR20291_0104	753	587.176	562	18.9699
rna-16S_2	1631	1465.18	399913	5409.71
rna-23S_2	2631	2465.18	79268.9	637.313
rna-16S_3	1632	1466.18	400922	5419.66
rna-23S_3	2596	2430.18	11001.5	89.7248
rna-5S_2	117	23.5751	76.4415	64.2649
gene-CDR20291_0105	1185	1019.18	20847	405.408
gene-CDR20291_0106	2352	2186.18	26829	243.23
gene-CDR20291_0107	540	374.535	5479	289.939
rna-23S_4	2953	2787.18	965601	6866.43
rna-5S_3	117	23.5751	76.4415	64.2649
gene-CDR20291_0108	840	674.176	1121	32.9557
gene-CDR20291_0109	1113	947.176	1762	36.87
gene-CDR20291_0110	120	24.9529	3	2.38286
gene-CDR20291_0111	918	752.176	9946	262.076
gene-CDR20291_0112	1080	914.176	5445	118.05
gene-CDR20291_0113	609	443.283	8441	377.408
gene-CDR20291_0114	216	81.1448	2204	538.33
gene-CDR20291_0115	1080	914.176	31502	682.977
gene-CDR20291_0116	753	587.176	23312	786.881
gene-CDR20291_0117	558	392.463	30210	1525.63
gene-CDR20291_0118	1407	1241.18	6470	103.316
gene-CDR20291_0119	1833	1667.18	28720	341.429
gene-CDR20291_0120	1296	1130.18	780	13.6788
gene-CDR20291_0121	738	572.191	969	33.5646
gene-CDR20291_0122	1272	1106.18	9532	170.788
gene-CDR20291_0123	1065	899.176	2512	55.3698
gene-CDR20291_0124	669	503.224	755	29.7361
gene-CDR20291_0125	261	114.39	60	10.3959
gene-CDR20291_0126	1020	854.176	2530	58.7045
gene-CDR20291_0127	429	265.313	1497	111.831
gene-CDR20291_0128	519	353.727	360	20.1712
gene-CDR20291_0129	1194	1028.18	12463	240.244
gene-CDR20291_0130	1098	932.176	61	1.29697
gene-CDR20291_0131	2220	2054.18	672	6.4838
gene-CDR20291_0132	783	617.176	316	10.1479
gene-CDR20291_0133	1914	1748.18	360	4.08146
gene-CDR20291_0134	309	153.769	137	17.6584
gene-CDR20291_0135	327	169.595	74	8.64804
gene-CDR20291_0136	1335	1169.18	242	4.10236
gene-CDR20291_0137	519	353.727	29	1.62491
gene-CDR20291_0138	960	794.176	71	1.7719
gene-CDR20291_0139	1053	887.176	43	0.960631
gene-CDR20291_0140	675	509.217	77	2.99699
gene-CDR20291_0141	552	386.482	37834	1940.22
gene-CDR20291_0142	2676	2510.18	21433	169.23
gene-CDR20291_0143	1017	851.176	11154	259.722
gene-CDR20291_0144	2151	1985.18	2537	25.3291
gene-CDR20291_0145	1167	1001.18	3372	66.7537
gene-CDR20291_0146	606	440.289	24386	1097.74
gene-CDR20291_0147	1041	875.176	1230	27.8553
gene-CDR20291_0148	453	288.74	837	57.4536
gene-CDR20291_0149	702	536.204	1902	70.3037
gene-CDR20291_0150	429	265.313	819	61.182
gene-CDR20291_0151	1017	851.176	3612	84.1059
gene-CDR20291_0152	2709	2543.18	10110	78.7903
gene-CDR20291_0153	258	112.055	228	40.3275
gene-CDR20291_0154	981	815.176	2346	57.0393
